"","COUNTY","MY","spp_total"
"1","Durham",2010-01-01,72
"2","Durham",2010-02-01,74
"3","Durham",2010-03-01,85
"4","Durham",2010-04-01,111
"5","Durham",2010-05-01,104
"6","Durham",2010-06-01,83
"7","Durham",2010-07-01,73
"8","Durham",2010-08-01,72
"9","Durham",2010-09-01,143
"10","Durham",2010-10-01,142
"11","Durham",2010-11-01,90
"12","Durham",2010-12-01,90
"13","Durham",2011-01-01,86
"14","Durham",2011-02-01,90
"15","Durham",2011-03-01,103
"16","Durham",2011-04-01,131
"17","Durham",2011-05-01,120
"18","Durham",2011-06-01,85
"19","Durham",2011-07-01,76
"20","Durham",2011-08-01,125
"21","Durham",2011-09-01,153
"22","Durham",2011-10-01,123
"23","Durham",2011-11-01,108
"24","Durham",2011-12-01,96
"25","Durham",2012-01-01,79
"26","Durham",2012-02-01,89
"27","Durham",2012-03-01,99
"28","Durham",2012-04-01,152
"29","Durham",2012-05-01,118
"30","Durham",2012-06-01,101
"31","Durham",2012-07-01,100
"32","Durham",2012-08-01,112
"33","Durham",2012-09-01,122
"34","Durham",2012-10-01,139
"35","Durham",2012-11-01,115
"36","Durham",2012-12-01,134
"37","Durham",2013-01-01,106
"38","Durham",2013-02-01,102
"39","Durham",2013-03-01,106
"40","Durham",2013-04-01,147
"41","Durham",2013-05-01,138
"42","Durham",2013-06-01,103
"43","Durham",2013-07-01,84
"44","Durham",2013-08-01,90
"45","Durham",2013-09-01,112
"46","Durham",2013-10-01,120
"47","Durham",2013-11-01,103
"48","Durham",2013-12-01,107
"49","Durham",2014-01-01,99
"50","Durham",2014-02-01,95
"51","Durham",2014-03-01,111
"52","Durham",2014-04-01,156
"53","Durham",2014-05-01,152
"54","Durham",2014-06-01,103
"55","Durham",2014-07-01,93
"56","Durham",2014-08-01,105
"57","Durham",2014-09-01,108
"58","Durham",2014-10-01,133
"59","Durham",2014-11-01,107
"60","Durham",2014-12-01,106
"61","Durham",2015-01-01,106
"62","Durham",2015-02-01,108
"63","Durham",2015-03-01,119
"64","Durham",2015-04-01,168
"65","Durham",2015-05-01,147
"66","Durham",2015-06-01,98
"67","Durham",2015-07-01,101
"68","Durham",2015-08-01,123
"69","Durham",2015-09-01,141
"70","Durham",2015-10-01,146
"71","Durham",2015-11-01,99
"72","Durham",2015-12-01,101
"73","Durham",2016-01-01,90
"74","Durham",2016-02-01,102
"75","Durham",2016-03-01,119
"76","Durham",2016-04-01,147
"77","Durham",2016-05-01,133
"78","Durham",2016-06-01,101
"79","Durham",2016-07-01,99
"80","Durham",2016-08-01,101
"81","Durham",2016-09-01,118
"82","Durham",2016-10-01,114
"83","Durham",2016-11-01,104
"84","Durham",2016-12-01,106
"85","Durham",2017-01-01,98
"86","Durham",2017-02-01,101
"87","Durham",2017-03-01,107
"88","Durham",2017-04-01,157
"89","Durham",2017-05-01,136
"90","Durham",2017-06-01,104
"91","Durham",2017-07-01,94
"92","Durham",2017-08-01,122
"93","Durham",2017-09-01,134
"94","Durham",2017-10-01,120
"95","Durham",2017-11-01,105
"96","Durham",2017-12-01,105
"97","Durham",2018-01-01,107
"98","Durham",2018-02-01,93
"99","Durham",2018-03-01,110
"100","Durham",2018-04-01,148
"101","Durham",2018-05-01,123
"102","Durham",2018-06-01,98
"103","Durham",2018-07-01,111
"104","Durham",2018-08-01,96
"105","Durham",2018-09-01,117
"106","Durham",2018-10-01,119
"107","Durham",2018-11-01,114
"108","Durham",2018-12-01,105
"109","Durham",2019-01-01,106
"110","Durham",2019-02-01,98
"111","Durham",2019-03-01,127
"112","Durham",2019-04-01,162
"113","Durham",2019-05-01,134
"114","Durham",2019-06-01,106
"115","Durham",2019-07-01,116
"116","Durham",2019-08-01,128
"117","Durham",2019-09-01,150
"118","Durham",2019-10-01,135
"119","Durham",2019-11-01,135
"120","Durham",2019-12-01,126
