"","Scientific Name","Common Name","Order","Family"
"56","Elanoides forficatus","Swallow-tailed Kite","Accipitriformes","Accipitridae"
"57","Anas rubripes","American Black Duck","Anseriformes","Anatidae"
"58","Anas strepera","Gadwall","Anseriformes","Anatidae"
"59","Aythya valisineria","Canvasback","Anseriformes","Anatidae"
"60","Branta bernicla","Brant","Anseriformes","Anatidae"
"61","Clangula hyemalis","Long-tailed Duck","Anseriformes","Anatidae"
"62","Cygnus columbianus","Tundra Swan","Anseriformes","Anatidae"
"63","Melanitta fusca","White-winged Scoter","Anseriformes","Anatidae"
"64","Melanitta perspicillata","Surf Scoter","Anseriformes","Anatidae"
"65","Charadrius melodus","Piping Plover","Charadriiformes","Charadriidae"
"66","Charadrius wilsonia","Wilson's Plover","Charadriiformes","Charadriidae"
"67","Pluvialis squatarola","Black-bellied Plover","Charadriiformes","Charadriidae"
"68","Haematopus palliatus","American Oystercatcher","Charadriiformes","Haematopodidae"
"69","Gelochelidon nilotica","Gull-billed Tern","Charadriiformes","Laridae"
"70","Hydroprogne caspia","Caspian Tern","Charadriiformes","Laridae"
"71","Larus marinus","Great Black-backed Gull","Charadriiformes","Laridae"
"72","Rynchops niger","Black Skimmer","Charadriiformes","Laridae"
"73","Sterna [= Sternula] antillarum","Least Tern","Charadriiformes","Laridae"
"74","Sterna forsteri","Forster's Tern","Charadriiformes","Laridae"
"75","Sterna hirundo","Common Tern","Charadriiformes","Laridae"
"76","Thalasseus maximus","Royal Tern","Charadriiformes","Laridae"
"77","Thalasseus sandvicensis","Sandwich Tern","Charadriiformes","Laridae"
"78","Himantopus mexicanus","Black-necked Stilt","Charadriiformes","Recurvirostridae"
"79","Recurvirostra americana","American Avocet","Charadriiformes","Recurvirostridae"
"80","Arenaria interpres","Ruddy Turnstone","Charadriiformes","Scolopacidae"
"81","Calidris alba","Sanderling","Charadriiformes","Scolopacidae"
"82","Calidris canutus rufa","Red Knot","Charadriiformes","Scolopacidae"
"83","Calidris maritima","Purple Sandpiper","Charadriiformes","Scolopacidae"
"84","Calidris pusilla","Semipalmated Sandpiper","Charadriiformes","Scolopacidae"
"85","Limosa fedoa","Marbled Godwit","Charadriiformes","Scolopacidae"
"86","Numenius phaeopus","Whimbrel","Charadriiformes","Scolopacidae"
