"","COUNTY","MY","event_total"
"1","Orange",2010-01-01,60
"2","Orange",2010-02-01,53
"3","Orange",2010-03-01,59
"4","Orange",2010-04-01,117
"5","Orange",2010-05-01,82
"6","Orange",2010-06-01,38
"7","Orange",2010-07-01,38
"8","Orange",2010-08-01,42
"9","Orange",2010-09-01,56
"10","Orange",2010-10-01,42
"11","Orange",2010-11-01,45
"12","Orange",2010-12-01,50
"13","Orange",2011-01-01,67
"14","Orange",2011-02-01,56
"15","Orange",2011-03-01,66
"16","Orange",2011-04-01,108
"17","Orange",2011-05-01,86
"18","Orange",2011-06-01,45
"19","Orange",2011-07-01,53
"20","Orange",2011-08-01,20
"21","Orange",2011-09-01,43
"22","Orange",2011-10-01,43
"23","Orange",2011-11-01,62
"24","Orange",2011-12-01,57
"25","Orange",2012-01-01,90
"26","Orange",2012-02-01,90
"27","Orange",2012-03-01,75
"28","Orange",2012-04-01,139
"29","Orange",2012-05-01,116
"30","Orange",2012-06-01,121
"31","Orange",2012-07-01,39
"32","Orange",2012-08-01,66
"33","Orange",2012-09-01,115
"34","Orange",2012-10-01,65
"35","Orange",2012-11-01,100
"36","Orange",2012-12-01,88
"37","Orange",2013-01-01,81
"38","Orange",2013-02-01,65
"39","Orange",2013-03-01,83
"40","Orange",2013-04-01,148
"41","Orange",2013-05-01,109
"42","Orange",2013-06-01,70
"43","Orange",2013-07-01,68
"44","Orange",2013-08-01,71
"45","Orange",2013-09-01,80
"46","Orange",2013-10-01,99
"47","Orange",2013-11-01,111
"48","Orange",2013-12-01,148
"49","Orange",2014-01-01,146
"50","Orange",2014-02-01,126
"51","Orange",2014-03-01,180
"52","Orange",2014-04-01,223
"53","Orange",2014-05-01,218
"54","Orange",2014-06-01,94
"55","Orange",2014-07-01,78
"56","Orange",2014-08-01,71
"57","Orange",2014-09-01,133
"58","Orange",2014-10-01,121
"59","Orange",2014-11-01,103
"60","Orange",2014-12-01,126
"61","Orange",2015-01-01,170
"62","Orange",2015-02-01,214
"63","Orange",2015-03-01,200
"64","Orange",2015-04-01,365
"65","Orange",2015-05-01,301
"66","Orange",2015-06-01,118
"67","Orange",2015-07-01,134
"68","Orange",2015-08-01,253
"69","Orange",2015-09-01,242
"70","Orange",2015-10-01,201
"71","Orange",2015-11-01,207
"72","Orange",2015-12-01,324
"73","Orange",2016-01-01,286
"74","Orange",2016-02-01,320
"75","Orange",2016-03-01,247
"76","Orange",2016-04-01,408
"77","Orange",2016-05-01,309
"78","Orange",2016-06-01,161
"79","Orange",2016-07-01,121
"80","Orange",2016-08-01,118
"81","Orange",2016-09-01,226
"82","Orange",2016-10-01,243
"83","Orange",2016-11-01,229
"84","Orange",2016-12-01,353
"85","Orange",2017-01-01,288
"86","Orange",2017-02-01,381
"87","Orange",2017-03-01,427
"88","Orange",2017-04-01,390
"89","Orange",2017-05-01,390
"90","Orange",2017-06-01,362
"91","Orange",2017-07-01,240
"92","Orange",2017-08-01,164
"93","Orange",2017-09-01,228
"94","Orange",2017-10-01,325
"95","Orange",2017-11-01,244
"96","Orange",2017-12-01,319
"97","Orange",2018-01-01,499
"98","Orange",2018-02-01,420
"99","Orange",2018-03-01,415
"100","Orange",2018-04-01,580
"101","Orange",2018-05-01,596
"102","Orange",2018-06-01,426
"103","Orange",2018-07-01,347
"104","Orange",2018-08-01,369
"105","Orange",2018-09-01,450
"106","Orange",2018-10-01,441
"107","Orange",2018-11-01,385
"108","Orange",2018-12-01,478
"109","Orange",2019-01-01,559
"110","Orange",2019-02-01,498
"111","Orange",2019-03-01,457
"112","Orange",2019-04-01,687
"113","Orange",2019-05-01,599
"114","Orange",2019-06-01,529
"115","Orange",2019-07-01,433
"116","Orange",2019-08-01,408
"117","Orange",2019-09-01,478
"118","Orange",2019-10-01,552
"119","Orange",2019-11-01,498
"120","Orange",2019-12-01,585
