"","COUNTY","MY","spp_total"
"1","Orange",2010-01-01,66
"2","Orange",2010-02-01,71
"3","Orange",2010-03-01,86
"4","Orange",2010-04-01,125
"5","Orange",2010-05-01,122
"6","Orange",2010-06-01,88
"7","Orange",2010-07-01,84
"8","Orange",2010-08-01,89
"9","Orange",2010-09-01,108
"10","Orange",2010-10-01,96
"11","Orange",2010-11-01,76
"12","Orange",2010-12-01,75
"13","Orange",2011-01-01,81
"14","Orange",2011-02-01,72
"15","Orange",2011-03-01,95
"16","Orange",2011-04-01,125
"17","Orange",2011-05-01,124
"18","Orange",2011-06-01,93
"19","Orange",2011-07-01,81
"20","Orange",2011-08-01,68
"21","Orange",2011-09-01,105
"22","Orange",2011-10-01,103
"23","Orange",2011-11-01,73
"24","Orange",2011-12-01,73
"25","Orange",2012-01-01,84
"26","Orange",2012-02-01,75
"27","Orange",2012-03-01,84
"28","Orange",2012-04-01,123
"29","Orange",2012-05-01,123
"30","Orange",2012-06-01,102
"31","Orange",2012-07-01,82
"32","Orange",2012-08-01,103
"33","Orange",2012-09-01,126
"34","Orange",2012-10-01,98
"35","Orange",2012-11-01,88
"36","Orange",2012-12-01,84
"37","Orange",2013-01-01,78
"38","Orange",2013-02-01,77
"39","Orange",2013-03-01,104
"40","Orange",2013-04-01,136
"41","Orange",2013-05-01,125
"42","Orange",2013-06-01,104
"43","Orange",2013-07-01,93
"44","Orange",2013-08-01,96
"45","Orange",2013-09-01,107
"46","Orange",2013-10-01,115
"47","Orange",2013-11-01,87
"48","Orange",2013-12-01,97
"49","Orange",2014-01-01,89
"50","Orange",2014-02-01,89
"51","Orange",2014-03-01,108
"52","Orange",2014-04-01,144
"53","Orange",2014-05-01,124
"54","Orange",2014-06-01,94
"55","Orange",2014-07-01,90
"56","Orange",2014-08-01,98
"57","Orange",2014-09-01,109
"58","Orange",2014-10-01,114
"59","Orange",2014-11-01,89
"60","Orange",2014-12-01,92
"61","Orange",2015-01-01,84
"62","Orange",2015-02-01,95
"63","Orange",2015-03-01,114
"64","Orange",2015-04-01,142
"65","Orange",2015-05-01,131
"66","Orange",2015-06-01,94
"67","Orange",2015-07-01,95
"68","Orange",2015-08-01,118
"69","Orange",2015-09-01,123
"70","Orange",2015-10-01,126
"71","Orange",2015-11-01,94
"72","Orange",2015-12-01,108
"73","Orange",2016-01-01,94
"74","Orange",2016-02-01,104
"75","Orange",2016-03-01,108
"76","Orange",2016-04-01,156
"77","Orange",2016-05-01,137
"78","Orange",2016-06-01,96
"79","Orange",2016-07-01,96
"80","Orange",2016-08-01,95
"81","Orange",2016-09-01,121
"82","Orange",2016-10-01,127
"83","Orange",2016-11-01,92
"84","Orange",2016-12-01,109
"85","Orange",2017-01-01,92
"86","Orange",2017-02-01,100
"87","Orange",2017-03-01,121
"88","Orange",2017-04-01,144
"89","Orange",2017-05-01,146
"90","Orange",2017-06-01,100
"91","Orange",2017-07-01,98
"92","Orange",2017-08-01,105
"93","Orange",2017-09-01,118
"94","Orange",2017-10-01,136
"95","Orange",2017-11-01,98
"96","Orange",2017-12-01,105
"97","Orange",2018-01-01,107
"98","Orange",2018-02-01,103
"99","Orange",2018-03-01,115
"100","Orange",2018-04-01,152
"101","Orange",2018-05-01,138
"102","Orange",2018-06-01,103
"103","Orange",2018-07-01,101
"104","Orange",2018-08-01,111
"105","Orange",2018-09-01,141
"106","Orange",2018-10-01,145
"107","Orange",2018-11-01,112
"108","Orange",2018-12-01,113
"109","Orange",2019-01-01,98
"110","Orange",2019-02-01,107
"111","Orange",2019-03-01,113
"112","Orange",2019-04-01,150
"113","Orange",2019-05-01,129
"114","Orange",2019-06-01,103
"115","Orange",2019-07-01,103
"116","Orange",2019-08-01,119
"117","Orange",2019-09-01,134
"118","Orange",2019-10-01,139
"119","Orange",2019-11-01,106
"120","Orange",2019-12-01,101
