"","MY","County","value"
"1",2010-01-01,"Durham",76
"2",2010-01-01,"Orange",60
"3",2010-01-01,"Wake",99
"4",2010-02-01,"Durham",86
"5",2010-02-01,"Orange",53
"6",2010-02-01,"Wake",107
"7",2010-03-01,"Durham",100
"8",2010-03-01,"Orange",59
"9",2010-03-01,"Wake",90
"10",2010-04-01,"Durham",132
"11",2010-04-01,"Orange",117
"12",2010-04-01,"Wake",110
"13",2010-05-01,"Durham",94
"14",2010-05-01,"Orange",82
"15",2010-05-01,"Wake",128
"16",2010-06-01,"Durham",53
"17",2010-06-01,"Orange",38
"18",2010-06-01,"Wake",57
"19",2010-07-01,"Durham",55
"20",2010-07-01,"Orange",38
"21",2010-07-01,"Wake",38
"22",2010-08-01,"Durham",50
"23",2010-08-01,"Orange",42
"24",2010-08-01,"Wake",61
"25",2010-09-01,"Durham",110
"26",2010-09-01,"Orange",56
"27",2010-09-01,"Wake",106
"28",2010-10-01,"Durham",129
"29",2010-10-01,"Orange",42
"30",2010-10-01,"Wake",94
"31",2010-11-01,"Durham",86
"32",2010-11-01,"Orange",45
"33",2010-11-01,"Wake",81
"34",2010-12-01,"Durham",106
"35",2010-12-01,"Orange",50
"36",2010-12-01,"Wake",144
"37",2011-01-01,"Durham",126
"38",2011-01-01,"Orange",67
"39",2011-01-01,"Wake",185
"40",2011-02-01,"Durham",135
"41",2011-02-01,"Orange",56
"42",2011-02-01,"Wake",120
"43",2011-03-01,"Durham",146
"44",2011-03-01,"Orange",66
"45",2011-03-01,"Wake",110
"46",2011-04-01,"Durham",218
"47",2011-04-01,"Orange",108
"48",2011-04-01,"Wake",158
"49",2011-05-01,"Durham",144
"50",2011-05-01,"Orange",86
"51",2011-05-01,"Wake",160
"52",2011-06-01,"Durham",160
"53",2011-06-01,"Orange",45
"54",2011-06-01,"Wake",87
"55",2011-07-01,"Durham",87
"56",2011-07-01,"Orange",53
"57",2011-07-01,"Wake",89
"58",2011-08-01,"Durham",209
"59",2011-08-01,"Orange",20
"60",2011-08-01,"Wake",109
"61",2011-09-01,"Durham",196
"62",2011-09-01,"Orange",43
"63",2011-09-01,"Wake",186
"64",2011-10-01,"Durham",108
"65",2011-10-01,"Orange",43
"66",2011-10-01,"Wake",257
"67",2011-11-01,"Durham",113
"68",2011-11-01,"Orange",62
"69",2011-11-01,"Wake",194
"70",2011-12-01,"Durham",144
"71",2011-12-01,"Orange",57
"72",2011-12-01,"Wake",294
"73",2012-01-01,"Durham",195
