"","COUNTY","MY","event_total"
"1","Wake",2010-01-01,99
"2","Wake",2010-02-01,107
"3","Wake",2010-03-01,90
"4","Wake",2010-04-01,110
"5","Wake",2010-05-01,128
"6","Wake",2010-06-01,57
"7","Wake",2010-07-01,38
"8","Wake",2010-08-01,61
"9","Wake",2010-09-01,106
"10","Wake",2010-10-01,94
"11","Wake",2010-11-01,81
"12","Wake",2010-12-01,144
"13","Wake",2011-01-01,185
"14","Wake",2011-02-01,120
"15","Wake",2011-03-01,110
"16","Wake",2011-04-01,158
"17","Wake",2011-05-01,160
"18","Wake",2011-06-01,87
"19","Wake",2011-07-01,89
"20","Wake",2011-08-01,109
"21","Wake",2011-09-01,186
"22","Wake",2011-10-01,257
"23","Wake",2011-11-01,194
"24","Wake",2011-12-01,294
"25","Wake",2012-01-01,289
"26","Wake",2012-02-01,235
"27","Wake",2012-03-01,307
"28","Wake",2012-04-01,364
"29","Wake",2012-05-01,315
"30","Wake",2012-06-01,177
"31","Wake",2012-07-01,113
"32","Wake",2012-08-01,186
"33","Wake",2012-09-01,276
"34","Wake",2012-10-01,275
"35","Wake",2012-11-01,300
"36","Wake",2012-12-01,239
"37","Wake",2013-01-01,340
"38","Wake",2013-02-01,462
"39","Wake",2013-03-01,374
"40","Wake",2013-04-01,549
"41","Wake",2013-05-01,398
"42","Wake",2013-06-01,152
"43","Wake",2013-07-01,98
"44","Wake",2013-08-01,154
"45","Wake",2013-09-01,193
"46","Wake",2013-10-01,232
"47","Wake",2013-11-01,196
"48","Wake",2013-12-01,251
"49","Wake",2014-01-01,403
"50","Wake",2014-02-01,479
"51","Wake",2014-03-01,586
"52","Wake",2014-04-01,553
"53","Wake",2014-05-01,446
"54","Wake",2014-06-01,271
"55","Wake",2014-07-01,148
"56","Wake",2014-08-01,211
"57","Wake",2014-09-01,327
"58","Wake",2014-10-01,308
"59","Wake",2014-11-01,331
"60","Wake",2014-12-01,307
"61","Wake",2015-01-01,550
"62","Wake",2015-02-01,608
"63","Wake",2015-03-01,490
"64","Wake",2015-04-01,715
"65","Wake",2015-05-01,482
"66","Wake",2015-06-01,261
"67","Wake",2015-07-01,213
"68","Wake",2015-08-01,307
"69","Wake",2015-09-01,372
"70","Wake",2015-10-01,443
"71","Wake",2015-11-01,341
"72","Wake",2015-12-01,380
"73","Wake",2016-01-01,613
"74","Wake",2016-02-01,865
"75","Wake",2016-03-01,628
"76","Wake",2016-04-01,1187
"77","Wake",2016-05-01,992
"78","Wake",2016-06-01,315
"79","Wake",2016-07-01,312
"80","Wake",2016-08-01,330
"81","Wake",2016-09-01,455
"82","Wake",2016-10-01,635
"83","Wake",2016-11-01,494
"84","Wake",2016-12-01,518
"85","Wake",2017-01-01,1197
"86","Wake",2017-02-01,1105
"87","Wake",2017-03-01,970
"88","Wake",2017-04-01,1233
"89","Wake",2017-05-01,1011
"90","Wake",2017-06-01,537
"91","Wake",2017-07-01,511
"92","Wake",2017-08-01,531
"93","Wake",2017-09-01,698
"94","Wake",2017-10-01,588
"95","Wake",2017-11-01,709
"96","Wake",2017-12-01,826
"97","Wake",2018-01-01,1480
"98","Wake",2018-02-01,1171
"99","Wake",2018-03-01,1015
"100","Wake",2018-04-01,1377
"101","Wake",2018-05-01,1003
"102","Wake",2018-06-01,791
"103","Wake",2018-07-01,571
"104","Wake",2018-08-01,774
"105","Wake",2018-09-01,946
"106","Wake",2018-10-01,970
"107","Wake",2018-11-01,1096
"108","Wake",2018-12-01,1127
"109","Wake",2019-01-01,1533
"110","Wake",2019-02-01,1671
"111","Wake",2019-03-01,1630
"112","Wake",2019-04-01,1632
"113","Wake",2019-05-01,1355
"114","Wake",2019-06-01,1068
"115","Wake",2019-07-01,899
"116","Wake",2019-08-01,1014
"117","Wake",2019-09-01,1217
"118","Wake",2019-10-01,1411
"119","Wake",2019-11-01,1214
"120","Wake",2019-12-01,1202
