"","MY","County","value"
"1",2010-01-01,"Durham",72
"2",2010-01-01,"Orange",66
"3",2010-01-01,"Wake",101
"4",2010-02-01,"Durham",74
"5",2010-02-01,"Orange",71
"6",2010-02-01,"Wake",101
"7",2010-03-01,"Durham",85
"8",2010-03-01,"Orange",86
"9",2010-03-01,"Wake",103
"10",2010-04-01,"Durham",111
"11",2010-04-01,"Orange",125
"12",2010-04-01,"Wake",137
"13",2010-05-01,"Durham",104
"14",2010-05-01,"Orange",122
"15",2010-05-01,"Wake",146
"16",2010-06-01,"Durham",83
"17",2010-06-01,"Orange",88
"18",2010-06-01,"Wake",86
"19",2010-07-01,"Durham",73
"20",2010-07-01,"Orange",84
"21",2010-07-01,"Wake",75
"22",2010-08-01,"Durham",72
"23",2010-08-01,"Orange",89
"24",2010-08-01,"Wake",85
"25",2010-09-01,"Durham",143
"26",2010-09-01,"Orange",108
"27",2010-09-01,"Wake",134
"28",2010-10-01,"Durham",142
"29",2010-10-01,"Orange",96
"30",2010-10-01,"Wake",140
"31",2010-11-01,"Durham",90
"32",2010-11-01,"Orange",76
"33",2010-11-01,"Wake",105
"34",2010-12-01,"Durham",90
"35",2010-12-01,"Orange",75
"36",2010-12-01,"Wake",115
"37",2011-01-01,"Durham",86
"38",2011-01-01,"Orange",81
"39",2011-01-01,"Wake",118
"40",2011-02-01,"Durham",90
"41",2011-02-01,"Orange",72
"42",2011-02-01,"Wake",106
"43",2011-03-01,"Durham",103
"44",2011-03-01,"Orange",95
"45",2011-03-01,"Wake",115
"46",2011-04-01,"Durham",131
"47",2011-04-01,"Orange",125
"48",2011-04-01,"Wake",149
"49",2011-05-01,"Durham",120
"50",2011-05-01,"Orange",124
"51",2011-05-01,"Wake",150
"52",2011-06-01,"Durham",85
"53",2011-06-01,"Orange",93
"54",2011-06-01,"Wake",103
"55",2011-07-01,"Durham",76
"56",2011-07-01,"Orange",81
"57",2011-07-01,"Wake",102
"58",2011-08-01,"Durham",125
"59",2011-08-01,"Orange",68
"60",2011-08-01,"Wake",120
"61",2011-09-01,"Durham",153
"62",2011-09-01,"Orange",105
"63",2011-09-01,"Wake",144
"64",2011-10-01,"Durham",123
"65",2011-10-01,"Orange",103
"66",2011-10-01,"Wake",159
"67",2011-11-01,"Durham",108
"68",2011-11-01,"Orange",73
"69",2011-11-01,"Wake",114
"70",2011-12-01,"Durham",96
"71",2011-12-01,"Orange",73
"72",2011-12-01,"Wake",114
"73",2012-01-01,"Durham",79
"74",2012-01-01,"Orange",84
"75",2012-01-01,"Wake",111
"76",2012-02-01,"Durham",89
"77",2012-02-01,"Orange",75
"78",2012-02-01,"Wake",106
"79",2012-03-01,"Durham",99
"80",2012-03-01,"Orange",84
"81",2012-03-01,"Wake",141
"82",2012-04-01,"Durham",152
"83",2012-04-01,"Orange",123
"84",2012-04-01,"Wake",185
"85",2012-05-01,"Durham",118
"86",2012-05-01,"Orange",123
"87",2012-05-01,"Wake",156
"88",2012-06-01,"Durham",101
"89",2012-06-01,"Orange",102
"90",2012-06-01,"Wake",113
"91",2012-07-01,"Durham",100
"92",2012-07-01,"Orange",82
"93",2012-07-01,"Wake",99
"94",2012-08-01,"Durham",112
"95",2012-08-01,"Orange",103
"96",2012-08-01,"Wake",132
"97",2012-09-01,"Durham",122
"98",2012-09-01,"Orange",126
"99",2012-09-01,"Wake",161
"100",2012-10-01,"Durham",139
"101",2012-10-01,"Orange",98
"102",2012-10-01,"Wake",161
"103",2012-11-01,"Durham",115
"104",2012-11-01,"Orange",88
"105",2012-11-01,"Wake",130
"106",2012-12-01,"Durham",134
"107",2012-12-01,"Orange",84
"108",2012-12-01,"Wake",127
"109",2013-01-01,"Durham",106
"110",2013-01-01,"Orange",78
"111",2013-01-01,"Wake",126
"112",2013-02-01,"Durham",102
"113",2013-02-01,"Orange",77
"114",2013-02-01,"Wake",135
"115",2013-03-01,"Durham",106
"116",2013-03-01,"Orange",104
"117",2013-03-01,"Wake",145
"118",2013-04-01,"Durham",147
"119",2013-04-01,"Orange",136
"120",2013-04-01,"Wake",194
"121",2013-05-01,"Durham",138
"122",2013-05-01,"Orange",125
"123",2013-05-01,"Wake",179
"124",2013-06-01,"Durham",103
"125",2013-06-01,"Orange",104
"126",2013-06-01,"Wake",106
"127",2013-07-01,"Durham",84
"128",2013-07-01,"Orange",93
"129",2013-07-01,"Wake",102
"130",2013-08-01,"Durham",90
"131",2013-08-01,"Orange",96
"132",2013-08-01,"Wake",122
"133",2013-09-01,"Durham",112
"134",2013-09-01,"Orange",107
"135",2013-09-01,"Wake",155
"136",2013-10-01,"Durham",120
"137",2013-10-01,"Orange",115
"138",2013-10-01,"Wake",144
"139",2013-11-01,"Durham",103
"140",2013-11-01,"Orange",87
"141",2013-11-01,"Wake",126
"142",2013-12-01,"Durham",107
"143",2013-12-01,"Orange",97
"144",2013-12-01,"Wake",127
"145",2014-01-01,"Durham",99
"146",2014-01-01,"Orange",89
"147",2014-01-01,"Wake",129
"148",2014-02-01,"Durham",95
"149",2014-02-01,"Orange",89
"150",2014-02-01,"Wake",131
"151",2014-03-01,"Durham",111
"152",2014-03-01,"Orange",108
"153",2014-03-01,"Wake",148
"154",2014-04-01,"Durham",156
"155",2014-04-01,"Orange",144
"156",2014-04-01,"Wake",187
"157",2014-05-01,"Durham",152
"158",2014-05-01,"Orange",124
"159",2014-05-01,"Wake",176
"160",2014-06-01,"Durham",103
"161",2014-06-01,"Orange",94
"162",2014-06-01,"Wake",114
"163",2014-07-01,"Durham",93
"164",2014-07-01,"Orange",90
"165",2014-07-01,"Wake",111
"166",2014-08-01,"Durham",105
"167",2014-08-01,"Orange",98
"168",2014-08-01,"Wake",130
"169",2014-09-01,"Durham",108
"170",2014-09-01,"Orange",109
"171",2014-09-01,"Wake",151
"172",2014-10-01,"Durham",133
"173",2014-10-01,"Orange",114
"174",2014-10-01,"Wake",155
"175",2014-11-01,"Durham",107
"176",2014-11-01,"Orange",89
"177",2014-11-01,"Wake",135
"178",2014-12-01,"Durham",106
"179",2014-12-01,"Orange",92
"180",2014-12-01,"Wake",127
"181",2015-01-01,"Durham",106
"182",2015-01-01,"Orange",84
"183",2015-01-01,"Wake",132
"184",2015-02-01,"Durham",108
"185",2015-02-01,"Orange",95
"186",2015-02-01,"Wake",136
"187",2015-03-01,"Durham",119
"188",2015-03-01,"Orange",114
"189",2015-03-01,"Wake",142
"190",2015-04-01,"Durham",168
"191",2015-04-01,"Orange",142
"192",2015-04-01,"Wake",185
"193",2015-05-01,"Durham",147
"194",2015-05-01,"Orange",131
"195",2015-05-01,"Wake",167
"196",2015-06-01,"Durham",98
"197",2015-06-01,"Orange",94
"198",2015-06-01,"Wake",116
"199",2015-07-01,"Durham",101
"200",2015-07-01,"Orange",95
"201",2015-07-01,"Wake",105
"202",2015-08-01,"Durham",123
"203",2015-08-01,"Orange",118
"204",2015-08-01,"Wake",128
"205",2015-09-01,"Durham",141
"206",2015-09-01,"Orange",123
"207",2015-09-01,"Wake",145
"208",2015-10-01,"Durham",146
"209",2015-10-01,"Orange",126
"210",2015-10-01,"Wake",164
"211",2015-11-01,"Durham",99
"212",2015-11-01,"Orange",94
"213",2015-11-01,"Wake",128
"214",2015-12-01,"Durham",101
"215",2015-12-01,"Orange",108
"216",2015-12-01,"Wake",131
"217",2016-01-01,"Durham",90
"218",2016-01-01,"Orange",94
"219",2016-01-01,"Wake",129
"220",2016-02-01,"Durham",102
"221",2016-02-01,"Orange",104
"222",2016-02-01,"Wake",142
"223",2016-03-01,"Durham",119
"224",2016-03-01,"Orange",108
"225",2016-03-01,"Wake",146
"226",2016-04-01,"Durham",147
"227",2016-04-01,"Orange",156
"228",2016-04-01,"Wake",193
"229",2016-05-01,"Durham",133
"230",2016-05-01,"Orange",137
"231",2016-05-01,"Wake",173
"232",2016-06-01,"Durham",101
"233",2016-06-01,"Orange",96
"234",2016-06-01,"Wake",114
"235",2016-07-01,"Durham",99
"236",2016-07-01,"Orange",96
"237",2016-07-01,"Wake",119
"238",2016-08-01,"Durham",101
"239",2016-08-01,"Orange",95
"240",2016-08-01,"Wake",130
"241",2016-09-01,"Durham",118
"242",2016-09-01,"Orange",121
"243",2016-09-01,"Wake",164
"244",2016-10-01,"Durham",114
"245",2016-10-01,"Orange",127
"246",2016-10-01,"Wake",175
"247",2016-11-01,"Durham",104
"248",2016-11-01,"Orange",92
"249",2016-11-01,"Wake",135
"250",2016-12-01,"Durham",106
"251",2016-12-01,"Orange",109
"252",2016-12-01,"Wake",134
"253",2017-01-01,"Durham",98
"254",2017-01-01,"Orange",92
"255",2017-01-01,"Wake",129
"256",2017-02-01,"Durham",101
"257",2017-02-01,"Orange",100
"258",2017-02-01,"Wake",138
"259",2017-03-01,"Durham",107
"260",2017-03-01,"Orange",121
"261",2017-03-01,"Wake",144
"262",2017-04-01,"Durham",157
"263",2017-04-01,"Orange",144
"264",2017-04-01,"Wake",205
"265",2017-05-01,"Durham",136
"266",2017-05-01,"Orange",146
"267",2017-05-01,"Wake",179
"268",2017-06-01,"Durham",104
"269",2017-06-01,"Orange",100
"270",2017-06-01,"Wake",111
"271",2017-07-01,"Durham",94
"272",2017-07-01,"Orange",98
"273",2017-07-01,"Wake",123
"274",2017-08-01,"Durham",122
"275",2017-08-01,"Orange",105
"276",2017-08-01,"Wake",142
"277",2017-09-01,"Durham",134
"278",2017-09-01,"Orange",118
"279",2017-09-01,"Wake",176
"280",2017-10-01,"Durham",120
"281",2017-10-01,"Orange",136
"282",2017-10-01,"Wake",164
"283",2017-11-01,"Durham",105
"284",2017-11-01,"Orange",98
"285",2017-11-01,"Wake",143
"286",2017-12-01,"Durham",105
"287",2017-12-01,"Orange",105
"288",2017-12-01,"Wake",139
"289",2018-01-01,"Durham",107
"290",2018-01-01,"Orange",107
"291",2018-01-01,"Wake",137
"292",2018-02-01,"Durham",93
"293",2018-02-01,"Orange",103
"294",2018-02-01,"Wake",132
"295",2018-03-01,"Durham",110
"296",2018-03-01,"Orange",115
"297",2018-03-01,"Wake",144
"298",2018-04-01,"Durham",148
"299",2018-04-01,"Orange",152
"300",2018-04-01,"Wake",196
"301",2018-05-01,"Durham",123
"302",2018-05-01,"Orange",138
"303",2018-05-01,"Wake",166
"304",2018-06-01,"Durham",98
"305",2018-06-01,"Orange",103
"306",2018-06-01,"Wake",118
"307",2018-07-01,"Durham",111
"308",2018-07-01,"Orange",101
"309",2018-07-01,"Wake",116
"310",2018-08-01,"Durham",96
"311",2018-08-01,"Orange",111
"312",2018-08-01,"Wake",128
"313",2018-09-01,"Durham",117
"314",2018-09-01,"Orange",141
"315",2018-09-01,"Wake",176
"316",2018-10-01,"Durham",119
"317",2018-10-01,"Orange",145
"318",2018-10-01,"Wake",180
"319",2018-11-01,"Durham",114
"320",2018-11-01,"Orange",112
"321",2018-11-01,"Wake",144
"322",2018-12-01,"Durham",105
"323",2018-12-01,"Orange",113
"324",2018-12-01,"Wake",131
"325",2019-01-01,"Durham",106
"326",2019-01-01,"Orange",98
"327",2019-01-01,"Wake",134
"328",2019-02-01,"Durham",98
"329",2019-02-01,"Orange",107
"330",2019-02-01,"Wake",133
"331",2019-03-01,"Durham",127
"332",2019-03-01,"Orange",113
"333",2019-03-01,"Wake",141
"334",2019-04-01,"Durham",162
"335",2019-04-01,"Orange",150
"336",2019-04-01,"Wake",197
"337",2019-05-01,"Durham",134
"338",2019-05-01,"Orange",129
"339",2019-05-01,"Wake",169
"340",2019-06-01,"Durham",106
"341",2019-06-01,"Orange",103
"342",2019-06-01,"Wake",119
"343",2019-07-01,"Durham",116
"344",2019-07-01,"Orange",103
"345",2019-07-01,"Wake",128
"346",2019-08-01,"Durham",128
"347",2019-08-01,"Orange",119
"348",2019-08-01,"Wake",141
"349",2019-09-01,"Durham",150
"350",2019-09-01,"Orange",134
"351",2019-09-01,"Wake",174
"352",2019-10-01,"Durham",135
"353",2019-10-01,"Orange",139
"354",2019-10-01,"Wake",182
"355",2019-11-01,"Durham",135
"356",2019-11-01,"Orange",106
"357",2019-11-01,"Wake",148
"358",2019-12-01,"Durham",126
"359",2019-12-01,"Orange",101
"360",2019-12-01,"Wake",141
