"APPENDIX PA-1

The species that scored above a threshold established by each Taxa Team for the Conservation Concern evaluation category have been designated as Species of Greatest Conservation Need (SGCN). All SGCN are considered a priority for use of State Wildlife Grant (SWG) Program funds.  Any changes to the SGCN list to add or remove species will be reviewed and approved by the USFWS as a major revision to the North Carolina Wildlife Action Plan (NCWAP).  In subsequent revisions, species that are newly listed for protection under the ESA, or that are petitioned for listing and for which the USFWS issues a positive 90-day finding, and newly described species will be prioritized for SGCN designation without need for evaluation by a Taxa Team.",,,,,,,,,,
"
Scientific Name
(red text indicates an update)","
Common Name",Order,Family,"SGCN Status
(2020 update)",Federal Status*,State Status*,"SEAFWA 
Regional SGCN",COUNT,Federal Listed COUNT,State Listed COUNT
AMPHIBIANS,,,,,,,,51,"PT(1), C(2)","E(3), T(5), SC(13) "
Anaxyrus [= Bufo] quercicus,Oak Toad,Anura,Bufonidae,X,--,--,X,,,
Hyla andersonii,Pine Barrens Treefrog,Anura,Hylidae,X,--,--,X,,,
Hyla versicolor,Northern Gray Treefrog,Anura,Hylidae,X,--,SC,--,,,
Lithobates [= Rana] capito,Gopher Frog,Anura,Ranidae,X,--,E,X,,,
Lithobates [= Rana] heckscheri,River Frog,Anura,Ranidae,X,--,E,X,,,
Lithobates [= Rana] sylvaticus pop.3,Wood Frog - Coastal Plain Pop.,Anura,Ranidae,X,--,--,--,,,
Lithobates [= Rana] kauffeldi,Atlantic Coast Leopard Frog,Anura,Ranidae,X (new),--,--,--,,,
Pseudacris brachyphona,Mountain Chorus Frog,Anura,Hylidae,X,--,SC,--,,,
Pseudacris nigrita,Southern Chorus Frog,Anura,Hylidae,X,--,--,--,,,
Pseudacris ornata,Ornate Chorus Frog,Anura,Hylidae,X,--,E,X,,,
Ambystoma mabeei,Mabee's Salamander,Caudata,Ambystomatidae,X,--,T,X,,,
Ambystoma talpoideum,Mole Salamander,Caudata,Ambystomatidae,X,--,SC,--,,,
Ambystoma tigrinum tigrinum,Eastern Tiger Salamander,Caudata,Ambystomatidae,X,--,T,--,,,
Aneides aeneus,Green Salamander,Caudata,Plethodontidae,X,--,T,X,,,
Aneides caryaensis,Hickory Nut Gorge Green Salamander,Caudata,Plethodontidae,X (new),--,PE,--,,,
Cryptobranchus alleganiensis allaganiensis,Eastern Hellbender,Caudata,Cryptobranchidae,X,C,SC,X,,,
Desmognathus aeneus,Seepage Salamander,Caudata,Plethodontidae,X,C,--,X,,,
Desmognathus auriculatus,Southern Dusky Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Desmognathus conanti,Spotted Dusky Salamander,Caudata,Plethodontidae,X,--,--,--,,,
Desmognathus folkertsi,Dwarf Black-bellied Salamander,Caudata,Plethodontidae,X,--,SC,X,,,
Desmognathus imitator,Imitator Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Desmognathus imitator pop.1,Imitator Salamander (Waterrock Knob pop.),Caudata,Plethodontidae,X,--,--,X,,,
Desmognathus organi,Northern Pigmy Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Desmognathus santeetlah,Santeetlah Dusky Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Desmognathus wrighti,Southern Pigmy Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Eurycea bislineata,Northern Two-lined Salamander,Caudata,Plethodontidae,X,--,--,--,,,
Eurycea junaluska,Junaluska Salamander,Caudata,Plethodontidae,X,--,T,X,,,
Eurycea longicauda longicauda,Long-tailed Salamander,Caudata,Plethodontidae,X,--,SC,--,,,
Eurycea quadridigitata,Dwarf Salamander,Caudata,Plethodontidae,X,--,SC,--,,,
Eurycea sp. 9,Sandhills Salamander,Caudata,Plethodontidae,X,--,--,--,,,
Hemidactylium scutatum,Four-toed Salamander,Caudata,Plethodontidae,X,--,SC,--,,,
Necturus lewisi,Neuse River Waterdog,Caudata,Proteidae,X,PT ,SC,X,,,
Necturus maculosus maculosus,Common Mudpuppy,Caudata,Proteidae,X,--,SC,--,,,
Plethodon amplus,Blue Ridge Gray-cheeked Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon aureolus,Tellico Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon chattahoochee,Chattahoochee Slimy Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon cheoah,Cheoah Bald Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon glutinosus,Northern Slimy Salamander,Caudata,Plethodontidae,X,--,--,--,,,
Plethodon jordani,Jordan's Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon longicrus [= P. yonahlossee pop. 1],Crevice Salamander,Caudata,Plethodontidae,X,--,SC,--,,,
Plethodon meridianus,South Mountain Gray-cheeked Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon richmondi,Southern Ravine Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon shermani,Red-legged Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon teyahalee,Southern Appalachian Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Plethodon ventralis,Southern Zigzag Salamander,Caudata,Plethodontidae,X,--,SC,X,,,
Plethodon wehrlei,Wehrle's Salamander,Caudata,Plethodontidae,X,--,T,X,,,
Plethodon welleri,Weller's Salamander,Caudata,Plethodontidae,X,--,SC,X,,,
Plethodon yonahlossee,Yonahlossee Salamander,Caudata,Plethodontidae,X,--,--,X,,,
Siren intermedia intermedia,Eastern Lesser Siren,Caudata,Sirenidae,X,--,--,--,,,
Siren lacertina,Greater Siren,Caudata,Sirenidae,X,--,--,X,,,
Stereochilus marginatus,Many-lined Salamander,Caudata,Plethodontidae,X,--,--,X,,,
,,,,51,3,22,33,,,
BIRDS,,,,,,,,93,"E(2),  T(4)","E(5),  T(4), SC(20)"
Elanoides forficatus,Swallow-tailed Kite,Accipitriformes,Accipitridae,X,--,--,X,,,
Anas rubripes,American Black Duck,Anseriformes,Anatidae,X,--,--,--,,,
Anas strepera,Gadwall,Anseriformes,Anatidae,X,--,--,--,,,
Aythya valisineria,Canvasback,Anseriformes,Anatidae,X,--,--,--,,,
Branta bernicla,Brant,Anseriformes,Anatidae,X,--,--,--,,,
Clangula hyemalis,Long-tailed Duck,Anseriformes,Anatidae,X,--,--,--,,,
Cygnus columbianus,Tundra Swan,Anseriformes,Anatidae,X,--,--,--,,,
Melanitta fusca,White-winged Scoter,Anseriformes,Anatidae,X,--,-,--,,,
Melanitta perspicillata,Surf Scoter,Anseriformes,Anatidae,X,--,--,--,,,
Charadrius melodus,Piping Plover,Charadriiformes,Charadriidae,X,E/T **,T,X,,,
Charadrius wilsonia,Wilson's Plover,Charadriiformes,Charadriidae,X,--,SC,X,,,
Pluvialis squatarola,Black-bellied Plover,Charadriiformes,Charadriidae,X,--,--,--,,,
Haematopus palliatus,American Oystercatcher,Charadriiformes,Haematopodidae,X,--,SC,X,,,
Gelochelidon nilotica,Gull-billed Tern,Charadriiformes,Laridae,X,--,T,X,,,
Hydroprogne caspia,Caspian Tern,Charadriiformes,Laridae,X,--,T,--,,,
Larus marinus,Great Black-backed Gull,Charadriiformes,Laridae,X,--,--,--,,,
Rynchops niger,Black Skimmer,Charadriiformes,Laridae,X,--,SC,X,,,
Sterna [= Sternula] antillarum,Least Tern,Charadriiformes,Laridae,X,--,SC,X,,,
Sterna forsteri,Forster's Tern,Charadriiformes,Laridae,X,--,--,--,,,
Sterna hirundo,Common Tern,Charadriiformes,Laridae,X,--,E,--,,,
Thalasseus maximus,Royal Tern,Charadriiformes,Laridae,X,--,--,X,,,
Thalasseus sandvicensis,Sandwich Tern,Charadriiformes,Laridae,X,--,--,X,,,
Himantopus mexicanus,Black-necked Stilt,Charadriiformes,Recurvirostridae,X (new),--,--,--,,,
Recurvirostra americana,American Avocet,Charadriiformes,Recurvirostridae,X,--,--,--,,,
Arenaria interpres,Ruddy Turnstone,Charadriiformes,Scolopacidae,X,--,--,--,,,
Calidris alba,Sanderling,Charadriiformes,Scolopacidae,X,--,--,--,,,
Calidris canutus rufa,Red Knot,Charadriiformes,Scolopacidae,X,T ,T,X,,,
Calidris maritima,Purple Sandpiper,Charadriiformes,Scolopacidae,X,--,--,--,,,
Calidris pusilla,Semipalmated Sandpiper,Charadriiformes,Scolopacidae,X,--,--,--,,,
Limosa fedoa,Marbled Godwit,Charadriiformes,Scolopacidae,X,--,--,--,,,
Numenius phaeopus,Whimbrel,Charadriiformes,Scolopacidae,X,--,-,X,,,
Tringa semipalmata [incl. T.s.semipalmata],Willet,Charadriiformes,Scolopacidae,X,--,-,X,,,
Botaurus lentiginosus,American Bittern,Ciconiiformes,Ardeidae,X,--,--,--,,,
Egretta caerulea,Little Blue Heron,Ciconiiformes,Ardeidae,X,--,SC,X,,,
Egretta thula,Snowy Egret,Ciconiiformes,Ardeidae,X,--,SC,X,,,
Egretta tricolor,Tricolored Heron,Ciconiiformes,Ardeidae,X,--,SC,--,,,
Ixobrychus exilis,Least Bittern,Ciconiiformes,Ardeidae,X,--,SC,--,,,
Nyctanassa violacea,Yellow-crowned Night-heron,Ciconiiformes,Ardeidae,X,-,-,X,,,
Nycticorax nycticorax,Black-crowned Night-Heron,Ciconiiformes,Ardeidae,X,--,--,--,,,
Mycteria americana,Wood Stork,Ciconiiformes,Ciconiidae,X,T ,T,X,,,
Eudocimus albus,White Ibis,Ciconiiformes,Threskiornithidae,X,--,-,--,,,
Plegadis falcinellus,Glossy Ibis,Ciconiiformes,Threskiornithidae,X,--,SC,--,,,
Accipiter striatus,Sharp-shinned Hawk,Falconiformes,Accipitridae,X (New),--,--,--,,,
Circus cyaneus,Northern Harrier,Falconiformes,Accipitridae,X,--,--,--,,,
Haliaeetus leucocephalus,Bald Eagle,Falconiformes,Accipitridae,X,--,T,--,,,
Falco peregrinus,Peregrine Falcon,Falconiformes,Falconidae,X,--,E,--,,,
Falco sparverius,American Kestrel,Falconiformes,Falconidae,X,--,--,--,,,
Colinus virginianus,Northern Bobwhite,Galliformes,Odontophoridae,X,--,--,X,,,
Bonasa umbellus,Ruffed Grouse,Galliformes,Phasianidae,X,--,--,--,,,
Coturnicops noveboracensis,Yellow Rail,Gruiformes,Rallidae,X,-,-,X,,,
Gallinula galeata,Common Gallinule,Gruiformes,Rallidae,X,--,--,--,,,
Laterallus jamaicensis [incl. L.j. sp Jamaicensis],Black Rail,Gruiformes,Rallidae,X,T ,SC,X,,,
Rallus crepitans ,Clapper Rail,Gruiformes,Rallidae,X,--,--,X,,,
Rallus elegans,King Rail,Gruiformes,Rallidae,X,--,--,X,,,
Rallus limicola,Virginia Rail,Gruiformes,Rallidae,X,--,-,--,,,
Passerina ciris ciris,Eastern Painted Bunting,Passeriformes,Cardinalidae,X,--,--,X,,,
Ammospiza [= Ammodramus ] leconteii,Le Conte's Sparrow,Passeriformes,Emberizidae,X,--,--,X,,,
Ammospiza [= Ammodramus] nelsoni,Nelson's Sparrow,Passeriformes,Emberizidae,X,--,--,X,,,
Ammospiza caudacuta [= Ammodramus caudacutus],Saltmarsh Sparrow,Passeriformes,Emberizidae,X,--,--,X,,,
Ammospiza maritima [= Ammodramus maritimus ],Seaside Sparrow,Passeriformes,Emberizidae,X,--,--,X,,,
Centronyx henslowii [= Ammodramus henslowii],Henslow's Sparrow,Passeriformes,Emberizidae,X,--,E,X,,,
Passerculus sandwichensis,Savannah Sparrow,Passeriformes,Emberizidae,X,--,--,--,,,
Peucaea aestivalis,Bachman's Sparrow,Passeriformes,Emberizidae,X,--,SC,X,,,
Pooecetes gramineus,Vesper Sparrow,Passeriformes,Emberizidae,X,--,SC,--,,,
Loxia curvirostra,Red Crossbill,Passeriformes,Fringillidae,X,--,SC,--,,,
Riparia riparia,Bank Swallow,Passeriformes,Hirundinidae,X,--,--,--,,,
Dolichonyx oryzivorus,Bobolink,Passeriformes,Icteridae,X,--,--,--,,,
Euphagus carolinus,Rusty Blackbird,Passeriformes,Icteridae,X,--,--,X,,,
Sturnella magna,Eastern Meadowlark,Passeriformes,Icteridae,X (new),--,--,--,,,
Lanius ludovicianus,Loggerhead Shrike,Passeriformes,Laniidae,X,--,SC,X,,,
Poecile atricapillus,Black-capped Chickadee,Passeriformes,Paridae,X (new),--,SC,--,,,
Geothlypis formosa,Kentucky Warbler,Passeriformes,Parulidae,X,--,--,X,,,
Helmitheros vermivorum,Worm-eating Warbler,Passeriformes,Parulidae,X,-,-,X,,,
Limnothlypis swainsonii,Swainson's Warbler,Passeriformes,Parulidae,X,--,--,X,,,
Parkesia motacilla,Louisiana Waterthrush,Passeriformes,Parulidae,X,--,--,X,,,
Protonotaria citrea,Prothonotary Warbler,Passeriformes,Parulidae,X,--,--,X,,,
Setophaga cerulea,Cerulean Warbler,Passeriformes,Parulidae,X,--,SC,X,,,
Setophaga discolor,Prairie Warbler,Passeriformes,Parulidae,X,--,--,X,,,
Setophaga dominica,Yellow-throated Warbler,Passeriformes,Parulidae,X,-,-,X,,,
Setophaga virens waynei,Wayne's Black-throated Green Warbler,Passeriformes,Parulidae,X,--,E,X,,,
Vermivora chrysoptera,Golden-winged Warbler,Passeriformes,Parulidae,X,C,SC,X,,,
Sitta pusilla,Brown-headed Nuthatch,Passeriformes,Sittidae,X,--,--,X,,,
Catharus fuscescens,Veery,Passeriformes,Turdidae,X,--,--,--,,,
Catharus guttatus,Hermit Thrush,Passeriformes,Turdidae,X,--,--,--,,,
Contopus cooperi,Olive-sided Flycatcher,Passeriformes,Tyrannidae,X,--,--,--,,,
Empidonax alnorum,Alder Flycatcher,Passeriformes,Tyrannidae,X,--,--,--,,,
Empidonax virescens,Acadian Flycatcher,Passeriformes,Tyrannidae,X,--,--,--,,,
Pelecanus occidentalis,Brown Pelican,Pelecaniformes,Pelecanidae,X,--,--,--,,,
Phalacrocorax auritus,Double-crested Cormorant,Pelecaniformes,Phalacrocoracidae,X,--,--,--,,,
Dryobates borealis [= Picoides borealis],Red-cockaded Woodpecker,Piciformes,Picidae,X,E,E,X,,,
Melanerpes erythrocephalus,Red-headed Woodpecker,Piciformes,Picidae,X,--,--,--,,,
Aegolius acadicus,Northern Saw-whet Owl,Strigiformes,Strigidae,X,--,T,--,,,
Tyto alba,Barn Owl,Strigiformes,Tytonidae,X,--,SC,--,,,
,,,,93,5,30,42,,,
CRAYFISHES,,,,,,,,23,None,SC(8)
Cambarus acanthura,Thornytail Crayfish,Decapoda,Cambaridae,X,--,--,--,,,
Cambarus aldermanorum,Needlenose Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Cambarus brimleyorum,Valley River Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Cambarus carolinus,Red Burrowing Crayfish,Decapoda,Cambaridae,X,--,--,--,,,
Cambarus catagius,Greensboro Burrowing Crayfish,Decapoda,Cambaridae,X,--,SC,X,,,
Cambarus chaugaensis,Chauga Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Cambarus eeseeohensis,Grandfather Mountain Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Cambarus franklini,South Mountains Crayfish,Decapoda,Cambaridae,X (new),--,--,X,,,
Cambarus georgiae,Little Tennessee River Crayfish,Decapoda,Cambaridae,X,--,SC,X,,,
Cambarus johni,Carolina Foothills Crayfish,Decapoda,Cambaridae,X (add*),--,--,--,,,
Cambarus lenati,Broad River Stream Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Cambarus nodosus,Knotty Burrowing Crayfish,Decapoda,Cambaridae,X,--,--,--,,,
Cambarus parrishi,Hiwassee Headwater Crayfish,Decapoda,Cambaridae,X,--,SC,X,,,
Cambarus reburrus,French Broad River Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Cambarus sp. A,An undescribed crayfish,Decapoda,Cambaridae,X (add*),--,--,--,,,
Cambarus spicatus,Broad River Spiny Crayfish,Decapoda,Cambaridae,X,--,SC,X,,,
Cambarus tuckasegee,Tuckaseegee Stream Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Faxionus [= Orconectes ] virginiensis ,Chowanoke Crayfish,Decapoda,Cambaridae,X,--,SC,--,,,
Procambarus ancylus,Coastal Plain Crayfish,Decapoda,Cambaridae,X,--,--,--,,,
Procambarus blandingii,Santee Crayfish,Decapoda,Cambaridae,X,--,--,--,,,
Procambarus braswelli,Waccamaw Crayfish,Decapoda,Cambaridae,X,--,SC,X,,,
Procambarus medialis,Pamlico Crayfish,Decapoda,Cambaridae,X,--,--,X,,,
Procambarus plumimanus,Croatan Crayfish,Decapoda,Cambaridae,X (add*),--,--,--,,,
,,,,23,0,6,14,,,
FRESHWATER FISHES,,,,,,,,85,"E(2), PE(1), T(2)","E(9), T(12), SC(29)"
Acipenser brevirostrum,Shortnose sturgeon,Acipenseriformes,Acipenseridae,X,E,E,X,,,
Acipenser oxyrinchus,Atlantic sturgeon,Acipenseriformes,Acipenseridae,X,E,E,X,,,
Menidia extensa,Waccamaw Silverside,Atheriniformes,Atherinopsidae,X,T,T,X,,,
Carpiodes carpio,River Carpsucker,Cypriniformes,Catostomidae,X,--,SC,--,,,
Carpiodes cyprinus,Quillback,Cypriniformes,Catostomidae,X,--,--,--,,,
Carpiodes sp. cf. cyprinus,Carolina Carpsucker,Cypriniformes,Catostomidae,X,--,--,X,,,
Carpiodes sp. cf. velifer,Atlantic Highfin Carpsucker,Cypriniformes,Catostomidae,X,--,--,X,,,
Hypentelium roanokense,Roanoke Hog Sucker,Cypriniformes,Catostomidae,X,--,--,--,,,
Ictiobus niger,Black Buffalo,Cypriniformes,Catostomidae,X (new),--,--,--,,,
Moxostoma ariommum,Bigeye Jumprock,Cypriniformes,Catostomidae,X,--,T,X,,,
Moxostoma breviceps,Smallmouth Redhorse,Cypriniformes,Catostomidae,X,--,--,--,,,
Moxostoma carinatum,River Redhorse,Cypriniformes,Catostomidae,X,--,--,--,,,
Moxostoma cervinum,Blacktip Jumprock,Cypriniformes,Catostomidae,X (new),--,--,--,,,
Moxostoma pappillosum,V-lip Redhorse,Cypriniformes,Catostomidae,X,--,--,X,,,
Moxostoma robustum,Robust Redhorse,Cypriniformes,Catostomidae,X,C,E,X,,,
Moxostoma sp 2 ,Sicklefin Redhorse,Cypriniformes,Catostomidae,X,--,T,X,,,
Moxostoma sp. Carolina,Carolina Redhorse,Cypriniformes,Catostomidae,X (new),--,T,X,,,
Thoburnia hamiltoni,Rustyside Sucker,Cypriniformes,Catostomidae,X,--,E,X,,,
Clinostomus sp. [= C. funduloides ssp. 1],Smoky [Hiwassee] Dace,Cypriniformes,Cyprinidae,X,--,SC,X,,,
Cyprinella labrosa,Thicklip Chub,Cypriniformes,Cyprinidae,X (new),--,--,X,,,
Cyprinella sp.1 [=C. cf. zanema],Thinlip Chub,Cypriniformes,Cyprinidae,X,--,SC,X,,,
Cyprinella zanema,Santee Chub,Cypriniformes,Cyprinidae,X (new),--,--,X,,,
Erimonax monachus,Spotfin Chub,Cypriniformes,Cyprinidae,X,T,T,X,,,
Erimystax insignis eristigma,Southern Blotched Chub,Cypriniformes,Cyprinidae,X,--,--,X,,,
Exoglossum laurae,Tonguetied Minnow,Cypriniformes,Cyprinidae,X,--,--,--,,,
Exoglossum maxillingua,Cutlips Minnow,Cypriniformes,Cyprinidae,X,--,SC,--,,,
Hybopsis rubifrons,Rosyface Chub,Cypriniformes,Cyprinidae,X,--,T,X,,,
Luxilus cerasinus,Crescent Shiner,Cypriniformes,Cyprinidae,X (new),--,--,--,,,
Luxilus chrysocephalus,Striped Shiner,Cypriniformes,Cyprinidae,X (new),--,--,--,,,
Micropterus coosae [=Micropterus sp.],Bartram's Bass [Redeye Bass],Cypriniformes,Cyprinidae,X (new),--,--,X,,,
Nocomis platyrhynchus,Bigmouth Chub,Cypriniformes,Cyprinidae,X (new),--,--,--,,,
Nocomis raneyi,Bull Chub,Cypriniformes,Cyprinidae,X (new),--,--,--,,,
Notropis alborus,Whitemouth Shiner,Cypriniformes,Cyprinidae,X (new),--,--,X,,,
Notropis bifrenatus,Bridle Shiner,Cypriniformes,Cyprinidae,X,--,E,X,,,
Notropis chalybaeus,Ironcolor Shiner,Cypriniformes,Cyprinidae,X,--,--,X,,,
Notropis lutipinnis,Yellowfin Shiner,Cypriniformes,Cyprinidae,X,--,SC,--,,,
Notropis mekistocholas,Cape Fear Shiner,Cypriniformes,Cyprinidae,X,E,E,X,,,
Notropis micropteryx,Highland Shiner,Cypriniformes,Cyprinidae,X (new),--,--,--,,,
Notropis scabriceps ,New River Shiner,Cypriniformes,Cyprinidae,X (new),--,--,X,,,
Notropis volucellus,"Mimic Shiner (P, CP: Neuse and Tar River basin pops.)",Cypriniformes,Cyprinidae,X,--,T,--,,,
Phenacobius teretulus,Kanawha Minnow,Cypriniformes,Cyprinidae,X (new),--,SC,X,,,
Semotilus lumbee,Sandhills Chub,Cypriniformes,Cyprinidae,X,--,SC,X,,,
Fundulus cf. diaphanus,Lake Phelps Killifish,Cyprinodontiformes,Fundulidae,X,--,--,X,,,
Fundulus rathbuni,Speckled Killifish,Cyprinodontiformes,Fundulidae,X (new),--,--,X,,,
Fundulus waccamensis,Waccamaw Killifish,Cyprinodontiformes,Fundulidae,X,--,SC,X,,,
Heterandria formosa,Least Killifish,Cyprinodontiformes,Poeciliidae,X,--,SC,--,,,
Hiodon tergisus,Mooneye,Osteoglossiformes,Hiodontidae,X,--,SC,X,,,
Ambloplites cavifrons,Roanoke Bass,Perciformes,Centrarchidae,X,--,--,X,,,
Enneacanthus chaetodon,Blackbanded Sunfish,Perciformes,Centrarchidae,X,--,--,X,,,
Enneacanthus obesus,Banded Sunfish,Perciformes,Centrarchidae,X,--,--,X,,,
Elassoma boehlkei,Carolina Pygmy Sunfish,Perciformes,Elassomatidae,X,--,T,X,,,
Elassoma evergladei,Everglades Pygmy Sunfish,Perciformes,Elassomatidae,X,--,--,--,,,
Etheostoma acuticeps,Sharphead Darter,Perciformes,Percidae,X,--,T,X,,,
Etheostoma collis pop. 1,Carolina Darter (Central Piedmont),Perciformes,Percidae,X,--,SC,X,,,
Etheostoma collis pop. 2,Carolina Darter (Eastern Piedmont),Perciformes,Percidae,X,--,SC,X,,,
Etheostoma gutselli,Tuckasegee Darter,Perciformes,Percidae,X (new),--,--,X,,,
Etheostoma inscriptum,Turquoise Darter,Perciformes,Percidae,X,--,T,X,,,
Etheostoma kanawhae,Kanawha Darter,Perciformes,Percidae,X,--,SC,--,,,
Etheostoma mariae,Pinewoods Darter,Perciformes,Percidae,X,--,SC,X,,,
Etheostoma perlongum,Waccamaw Darter,Perciformes,Percidae,X,--,T,X,,,
Etheostoma simoterum,Tennessee Snubnose Darter,Perciformes,Percidae,X,--,SC,--,,,
Etheostoma thalassinum,Seagreen Darter,Perciformes,Percidae,X,--,--,X,,,
Etheostoma vulneratum,Wounded Darter,Perciformes,Percidae,X,--,SC,X,,,
Percina caprodes,Logperch,Perciformes,Percidae,X,--,T,--,,,
